iter	Logloss
0	0.6507948076
1	0.6211720828
2	0.5892148022
3	0.5671130111
4	0.5483243642
5	0.5353673537
6	0.5244779546
7	0.5133082613
8	0.5037332218
9	0.4963035551
10	0.4902394656
11	0.486431651
12	0.4820824676
13	0.4767397876
14	0.4718376517
15	0.46726095
16	0.4660129239
17	0.4631032871
18	0.4603787816
19	0.4572999086
20	0.4548459317
21	0.4528673537
22	0.4504679189
23	0.4482697183
24	0.4469412816
25	0.4452886573
26	0.4427957738
27	0.4423118039
28	0.440257906
29	0.4382374086
30	0.4364050033
31	0.4341480791
32	0.4322790787
33	0.4319461904
34	0.4304867489
35	0.4278138506
36	0.4260048724
37	0.4242295285
38	0.4228772232
39	0.4213767194
40	0.4194980573
41	0.4187295078
42	0.417944258
43	0.4169592025
44	0.4156988655
45	0.4142717077
46	0.4127421407
47	0.4107879249
48	0.4085008727
49	0.4065717981
