iter	Passed	Remaining
0	45	32352
1	65	23301
2	119	28024
3	157	27735
4	193	27232
5	213	24988
6	248	24918
7	267	23457
8	286	22320
9	339	23716
10	350	22251
11	369	21465
12	422	22596
13	475	23581
14	519	24022
15	530	22987
16	549	22378
17	576	22139
18	627	22804
19	639	22016
20	690	22606
21	742	23180
22	793	23652
23	812	23199
24	847	23181
25	865	22739
26	876	22146
27	947	23038
28	999	23436
29	1035	23431
30	1070	23414
31	1120	23712
32	1134	23233
33	1165	23139
34	1176	22664
35	1203	22504
36	1254	22780
37	1307	23095
38	1360	23370
39	1413	23638
40	1449	23623
41	1462	23224
42	1489	23069
43	1516	22918
44	1527	22538
45	1546	22287
46	1556	21928
47	1592	21935
48	1644	22152
49	1680	22143
50	1690	21813
51	1701	21500
52	1752	21693
53	1803	21881
54	1839	21871
55	1881	21940
56	1946	22269
57	1967	22079
58	1979	21806
59	1991	21539
60	2002	21272
61	2021	21099
62	2033	20847
63	2059	20758
64	2103	20837
65	2115	20606
66	2151	20611
67	2196	20702
68	2248	20857
69	2300	21004
70	2343	21062
71	2361	20894
72	2372	20669
73	2423	20797
74	2473	20910
75	2526	21044
76	2539	20842
77	2567	20769
78	2586	20628
79	2605	20485
80	2616	20287
81	2644	20221
82	2696	20335
83	2748	20453
84	2785	20452
85	2837	20556
86	2857	20428
87	2868	20242
88	2887	20113
89	2920	20089
90	2981	20246
91	2992	20066
92	3019	19999
93	3030	19827
94	3049	19710
95	3100	19797
96	3151	19885
97	3163	19721
98	3182	19606
99	3234	19696
100	3244	19534
101	3280	19523
102	3332	19608
103	3384	19689
104	3403	19580
105	3423	19475
106	3476	19559
107	3511	19542
108	3563	19616
109	3616	19694
110	3668	19763
111	3719	19825
112	3770	19888
113	3823	19956
114	3835	19809
115	3886	19869
116	3956	20019
117	4010	20085
118	4061	20137
119	4115	20200
120	4168	20258
121	4219	20302
122	4272	20357
123	4324	20404
124	4376	20447
125	4428	20490
126	4481	20536
127	4533	20577
128	4584	20612
129	4636	20652
130	4687	20684
131	4744	20737
132	4796	20771
133	4848	20803
134	4902	20846
135	4969	20935
136	5020	20960
137	5072	20987
138	5123	21009
139	5175	21036
140	5228	21061
141	5280	21085
142	5333	21111
143	5402	21197
144	5453	21213
145	5507	21238
146	5560	21260
147	5614	21281
148	5666	21297
149	5719	21315
150	5773	21334
151	5825	21348
152	5878	21362
153	5952	21450
154	6003	21457
155	6057	21471
156	6109	21482
157	6162	21490
158	6216	21503
159	6268	21508
160	6319	21509
161	6372	21517
162	6426	21525
163	6477	21526
164	6529	21528
165	6583	21534
166	6635	21537
167	6688	21538
168	6740	21537
169	6793	21540
170	6846	21540
171	6899	21539
172	6965	21581
173	7018	21579
174	7070	21575
175	7124	21576
176	7177	21573
177	7231	21571
178	7284	21568
179	7336	21562
180	7388	21552
181	7439	21541
182	7490	21528
183	7548	21537
184	7600	21528
185	7653	21521
186	7707	21513
187	7758	21502
188	7812	21493
189	7866	21487
190	7933	21515
191	7987	21506
192	8039	21493
193	8092	21482
194	8144	21469
195	8198	21457
196	8249	21440
197	8303	21428
198	8357	21418
199	8410	21404
200	8462	21386
201	8521	21388
202	8584	21396
203	8652	21418
204	8711	21416
205	8765	21402
206	8818	21386
207	8874	21374
208	8942	21392
209	9008	21406
210	9061	21387
211	9114	21366
212	9167	21346
213	9222	21331
214	9276	21314
215	9335	21307
216	9389	21287
217	9440	21263
218	9493	21240
219	9553	21235
220	9607	21215
221	9668	21209
222	9721	21187
223	9773	21161
224	9828	21141
225	9882	21120
226	9948	21123
227	10001	21100
228	10055	21076
229	10107	21049
230	10161	21027
231	10213	21000
232	10266	20973
233	10320	20950
234	10374	20925
235	10426	20896
236	10478	20869
237	10531	20841
238	10584	20813
239	10637	20787
240	10690	20759
241	10744	20733
242	10796	20703
243	10848	20675
244	10903	20649
245	10973	20652
246	11026	20624
247	11078	20594
248	11132	20566
249	11184	20534
250	11235	20501
251	11289	20474
252	11342	20443
253	11395	20412
254	11446	20380
